TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
0,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.5,57,1000,10,0.02,3.0,Logloss,SymmetricTree,Bayesian,35,0.8023255813953488,0.700507614213198,0.9387755102040817,0.09230769230769231,0.9387755102040817
1,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.49,59,900,9,0.02,1.0,CrossEntropy,SymmetricTree,Bernoulli,45,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292
2,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.5,62,800,10,0.01,3.0,Logloss,Depthwise,Bernoulli,32,0.7654320987654321,0.7005649717514124,0.8435374149659864,0.18461538461538463,0.8435374149659864
3,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.5,56,1000,10,0.1,2.0,Logloss,SymmetricTree,Bayesian,49,0.793002915451895,0.6938775510204082,0.9251700680272109,0.07692307692307693,0.9251700680272109
4,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.49,62,900,10,0.06,2.0,Logloss,SymmetricTree,Bayesian,46,0.8137535816618912,0.7029702970297029,0.9659863945578231,0.07692307692307693,0.9659863945578231
5,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.4,0.5,58,800,10,0.05,1.0,Logloss,SymmetricTree,Bernoulli,34,0.8023255813953488,0.700507614213198,0.9387755102040817,0.09230769230769231,0.9387755102040817
6,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.3,0.5,70,800,9,0.04,2.0,Logloss,SymmetricTree,Bernoulli,45,0.8158640226628895,0.6990291262135923,0.9795918367346939,0.046153846153846156,0.9795918367346939
7,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.0,0.5,58,1000,9,0.09,1.0,Logloss,Depthwise,Bernoulli,42,0.7823343848580442,0.7294117647058823,0.8435374149659864,0.2923076923076923,0.8435374149659864
8,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.48,60,800,9,0.1,2.0,Logloss,SymmetricTree,Bernoulli,34,0.8192090395480226,0.7004830917874396,0.9863945578231292,0.046153846153846156,0.9863945578231292
9,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.5,51,800,9,0.05,1.0,CrossEntropy,SymmetricTree,Bayesian,33,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292
