TRIAL,kobert_train,kobert_test,kobert_y,weight_1,percentile,weight_0,threshold,PCA_dim,iterations,depth,learning_rate,l2_leaf_reg,loss_function,grow_policy,bootstrap_type,early_stopping_rounds,f1_score,precision,recall,accuracy_0,accuracy_1
0,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.58,351,700,7,0.08,2.0,Logloss,SymmetricTree,Bayesian,10,0.6451612903225806,0.6818181818181818,0.6122448979591837,0.35384615384615387,0.6122448979591837
1,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.54,419,700,9,0.1,2.0,CrossEntropy,SymmetricTree,Bernoulli,10,0.74375,0.6878612716763006,0.8095238095238095,0.16923076923076924,0.8095238095238095
2,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,279,700,7,0.04,3.0,CrossEntropy,Depthwise,Bayesian,10,0.8169014084507042,0.6971153846153846,0.9863945578231292,0.03076923076923077,0.9863945578231292
3,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.57,459,1000,7,0.09,3.0,CrossEntropy,Depthwise,Bernoulli,30,0.7730061349693251,0.7039106145251397,0.8571428571428571,0.18461538461538463,0.8571428571428571
4,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.53,491,500,8,0.1,1.0,CrossEntropy,Depthwise,Bayesian,30,0.7586206896551724,0.7034883720930233,0.8231292517006803,0.2153846153846154,0.8231292517006803
5,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.7,0.5,3,700,7,0.09,3.0,Logloss,SymmetricTree,Bernoulli,10,0.774390243902439,0.7016574585635359,0.8639455782312925,0.16923076923076924,0.8639455782312925
6,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.48,71,1000,7,0.01,3.0,CrossEntropy,Depthwise,Bernoulli,50,0.8011527377521613,0.695,0.9455782312925171,0.06153846153846154,0.9455782312925171
7,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,1.1,0.6,507,600,6,0.05,1.0,Logloss,Depthwise,Bernoulli,10,0.5853658536585366,0.7272727272727273,0.4897959183673469,0.5846153846153846,0.4897959183673469
8,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.43,459,500,7,0.01,1.0,CrossEntropy,Depthwise,Bayesian,10,0.8146067415730337,0.69377990430622,0.9863945578231292,0.015384615384615385,0.9863945578231292
9,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_train.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_test.npy,C:/Users/ilumi/BDA_Project/data/kobert_results/kobert_y.npy,1.0,0.1,,0.42,127,800,7,0.09,1.0,CrossEntropy,Depthwise,Bayesian,50,0.7965616045845272,0.6881188118811881,0.9455782312925171,0.03076923076923077,0.9455782312925171
